,gpt-4-turbo-2024-04-09,claude-3-haiku-20240307,command-r-plus,Qwen/Qwen1.5-72B-Chat,zero-one-ai/Yi-34B-Chat,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-35-turbo-0125,deepseek-ai/deepseek-llm-67b-chat,meta-llama/Llama-2-70b-chat-hf
0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1,1035.218251810923,1000.0,1000.0,964.781748189077,1000.0,1000.0,1000.0,1000.0,1000.0
2,1035.2182515094419,982.5699621232473,1017.4300378767527,964.7817484905582,1000.0,1000.0,1000.0,1000.0,1000.0
3,1035.2182515084216,982.5699627356142,1017.4300372643858,964.7817484915785,1021.8288943446975,978.1711056553025,1000.0,1000.0,1000.0
4,1035.218251818452,982.569963191238,1017.430036808762,964.781748181548,1021.8288942687626,978.1711057312374,1026.2557822215056,973.7442177784945,1000.0
5,1035.218251818452,982.569963191238,1017.430036808762,964.781748181548,1021.8288942687626,978.1711057312374,1026.2557822215056,973.7442177784945,1000.0
0,1035.218251818452,982.569963191238,1017.430036808762,964.781748181548,1021.8288942687626,978.1711057312374,1026.2557822215056,973.7442177784945,1000.0
1,1144.5153448523756,982.5699651798657,1017.4300348201343,1074.0788438016657,1021.8288942487571,978.1711057512429,916.9586895790669,864.4471217668919,1000.0
2,1144.5153427680812,1024.5362762289585,1059.3963451722982,1074.0788331440863,979.8625801796154,936.204798419128,916.9586876754356,864.447136412397,1000.0
3,1144.515329790216,1076.59951885457,1111.4596031973772,1074.0788515544248,1031.9258576963555,988.2680692615739,916.9586999786175,864.4471186767415,791.7469509901233
4,1142.7668708416802,1077.9983001411476,1112.8583641173984,1072.3303828043117,1033.324613205058,989.6668324612971,915.2102231876461,862.6986655071627,793.1457477342983
5,1142.7668708416802,1077.9983001411476,1112.8583641173984,1072.3303828043117,1033.324613205058,989.6668324612971,915.2102231876461,862.6986655071627,793.1457477342983
0,1142.7668708416802,1077.9983001411476,1112.8583641173984,1072.3303828043117,1033.324613205058,989.6668324612971,915.2102231876461,862.6986655071627,793.1457477342983
1,1149.4613697200873,1073.0129699890208,1107.873027066041,1079.0248221649465,1030.4836054065138,988.8952119297247,918.8437567432876,864.244829534389,788.160407445989
2,1147.2008262738518,1077.7748809854058,1108.8459050025626,1072.8437600959899,1030.8636976341143,988.7030000158753,917.4333010682647,863.4123226069744,792.9223063169608
3,1151.2321992771738,1075.1749745704137,1102.98601321743,1073.4808599648422,1011.2373564618068,982.6903854258684,940.3948303175204,872.4809756188625,790.3224051460824
4,1150.8809472334874,1087.1752543848008,1103.4431316262655,1079.4460198204029,1000.1253085804316,959.8533513994048,930.2276604266805,856.1430442537543,832.7052822747725
5,1150.8809472334874,1087.1752543848008,1103.4431316262655,1079.4460198204029,1000.1253085804316,959.8533513994048,930.2276604266805,856.1430442537543,832.7052822747725
0,1150.8809472334874,1087.1752543848008,1103.4431316262655,1079.4460198204029,1000.1253085804316,959.8533513994048,930.2276604266805,856.1430442537543,832.7052822747725
1,1146.4474546349697,1091.8392658763241,1103.4023260374886,1079.6488163776044,999.6717287169427,960.1203131883876,928.6393513073074,855.4619484367524,834.7687954242233
2,1148.0829503047282,1093.714973677374,1096.1589164663624,1092.2263813471734,996.2100989410118,958.2284125423618,927.1811703702699,853.7917982101335,834.4052981405857
3,1144.794203606663,1089.9402971635002,1089.9873566850072,1087.804970841524,982.4360808428114,961.6259988705498,930.2489195543634,878.277553228016,834.884619207565
4,1142.929969370749,1089.5858024811723,1089.1449691598946,1086.7919664824458,982.3404757845352,968.5368169170719,923.6220431451914,878.2460454905755,838.8019111683637
5,1142.929969370749,1089.5858024811723,1089.1449691598946,1086.7919664824458,982.3404757845352,968.5368169170719,923.6220431451914,878.2460454905755,838.8019111683637
